id:ID(Comment)|creationDate:LONG|locationIP:STRING|browserUsed:STRING|content:STRING|length:INT
206158430597|20100831071410218|204.79.199.255|Internet Explorer|About Che Guevara, Guevara(1928-0About Haile Selassie I, ions in 1936, About Herb|81
206158430598|20100831033047660|204.79.199.255|Internet Explorer|LOL|3
206158430599|20100831120843062|204.79.199.255|Internet Explorer|good|4
206158430600|20100831091058092|204.79.199.255|Internet Explorer|yes|3
206158430601|20100901011413592|204.79.199.255|Internet Explorer|maybe|5
206158430602|20100901021509423|204.79.199.255|Internet Explorer|About Mark Twain, 35 – April 21, About Katharine Hepburn, rican Film InstAbout Empir|84
206158430603|20100901045810753|204.79.199.255|Internet Explorer|About Che Guevara, s for class sAbout Haile Selassie I, ty that traceAbout Arantxa Sánche|89
206158430604|20100901063452925|204.79.199.255|Internet Explorer|About Che Guevara, convicted as warAbout Juan Carlos I of Spain, ay 1962. The couAbout Arantxa Sánchez Vicario, u 'Arantxa|122
206158430605|20100901021519616|204.79.199.255|Internet Explorer|ok|2
206158430606|20100831034746902|204.79.199.255|Internet Explorer|About Haile Selassie I, vement whose fAbout Oprah Winfrey, ent. OWN is a About Fr|81
206158430607|20100901060707613|204.79.199.255|Internet Explorer|roflol|6
206158430608|20100831085047195|204.79.199.255|Internet Explorer|About The Wall, hness became so acuAbout England, h west, the Celtic About |75
206158430609|20100831064108603|204.79.199.255|Internet Explorer|cool|4
206158430611|20100830112001747|91.201.140.249|Internet Explorer|About Haile Selassie I, ews led About Nicolas Sarkozy, last govAbout Alexandre Dumas,|85
206158430612|20100831000557127|204.79.199.255|Internet Explorer|LOL|3
206158430613|20100830053508602|204.79.199.255|Internet Explorer|About Diana, Princess of Wales, ies. She remAbout Clint Eastwood, on d'honneurAbout Alice |90
206158430614|20100830064009827|204.79.199.255|Internet Explorer|good|4
206158430615|20100830131018583|204.79.199.255|Internet Explorer|I see|5
206158430616|20100830041652919|204.79.199.255|Internet Explorer|About Haile Selassie I, sperity. HaAbout Otto von Bismarck,  its affairAbout Thailand, |87
206158430617|20100830020818115|204.79.199.255|Internet Explorer|About Haile Selassie I, elassie iAbout William McKinley, gn in whiAbout The Wall|80
206158430618|20100830142304999|204.79.199.255|Internet Explorer|About Nicolas Sarkozy, embersAbout Alexandre Dumas, iter aAbout Amitabh Bachcha|79
206158430619|20100830142318230|204.79.199.255|Internet Explorer|good|4
206158430620|20100830082205778|204.79.199.255|Internet Explorer|great|5
206158430621|20100830072459900|204.79.199.255|Internet Explorer|no way!|7
206158430622|20100830070202501|204.79.199.255|Internet Explorer|cool|4
206158430623|20100830210053801|204.79.199.255|Internet Explorer|About Alexandre Dumas, ) was aAbout William Morris, as devoAbout John A. Macdonald|82
206158430624|20100830082408701|204.79.199.255|Internet Explorer|great|5
206158430626|20100829225702429|204.79.199.255|Internet Explorer|About Haile Selassie I, te, among the About The Sickness, udes much moreAbout I S|81
206158430627|20100830004209079|204.79.199.255|Internet Explorer|thx|3
206158430628|20100829232723473|204.79.199.255|Internet Explorer|About Mustafa Kemal Atatürk, e referred to as About Jack Kirby, t of the DC Comic|81
206158430629|20100830063957467|204.79.199.255|Internet Explorer|thanks|6
206158430630|20100830133431421|204.79.199.255|Internet Explorer|thx|3
206158430631|20100830020928094|204.79.199.255|Internet Explorer|About I Should Be So Lucky, itive to mixed rAbout Peru, and the capital About T|79
206158430632|20100830210115401|204.79.199.255|Internet Explorer|right|5
206158430633|20100829215412375|204.79.199.255|Internet Explorer|thanks|6
687194767787|20111022185530602|91.191.192.127|Firefox|right|5
687194767788|20111023142438086|61.17.197.42|Safari|yes|3
687194767789|20111022211922911|91.191.192.127|Firefox|no|2
687194767790|20111023132259115|61.17.197.42|Safari|About Charlemagne, pean Middle Ages. He is nuAbout Joe Strummer, ion of new music, and eachAbout Niandra Lades and Usually Just a T-Shirt, d synthesizers on a four-tAbout France, ph|181
687194767791|20111022225048364|61.17.197.42|Safari|maybe|5
687194767792|20111023212516024|91.191.192.127|Firefox|thanks|6
687194767793|20111023144255439|61.17.197.42|Safari|I see|5
687194767794|20111024003124307|91.191.192.127|Firefox|ok|2
687194767795|20111023040338924|61.17.197.42|Safari|About Vladimir Putin, ion of Russia aAbout Joe Strummer, ance, Strummer'About Democr|84
687194767796|20111023064133717|91.191.192.127|Firefox|About Two Steps from the Move,  a car accident on DecAbout Getback,  from Little Brothe|87
687194767797|20111023194924021|91.191.192.127|Firefox|LOL|3
687194767798|20111023065600404|61.17.197.42|Safari|thx|3
343597384120|20101104025909708|41.153.161.111|Internet Explorer|About J. R. R. Tolkien, h within it. Between 1951 and 1955, Tolkien aAbout James Stewart|88
343597384121|20101104111548726|196.32.227.177|Chrome|About J. R. R. Tolkien,  the great success of The About James Stewart,  in th|77
206158430651|20100901140335082|41.153.161.111|Internet Explorer|no way!|7
206158430652|20100901215019192|196.32.227.177|Chrome|no way!|7
206158430653|20100901162407944|196.32.227.177|Chrome|About J. R. R. Tolkien, cess of The Hobbit and The Lord of the Rings lAbout Music from Van|90
206158430654|20100901190945443|196.32.227.177|Chrome|ok|2
206158430655|20100901235921704|186.169.83.109|Firefox|About J. R. R. Tolkien, the 5th top-earning dead celebrity in 2009. Nominated for a Nobel Prize in Literature byAbout Thailand, e Vietnam in the Gulf of Thailand to the south|174
206158430656|20100902020439306|41.153.161.111|Internet Explorer|fine|4
206158430657|20100901162617677|196.32.227.177|Chrome|maybe|5
206158430658|20100901134927156|186.169.83.109|Firefox|About Dean Martin, film actor, television star and comedian. Martin's hit singles|81
206158430659|20100902134013508|186.169.83.109|Firefox|no|2
206158430660|20100901163528630|186.169.83.109|Firefox|great|5
206158430661|20100901205429807|196.32.227.177|Chrome|About J. R. R. Tolkien, lished a series of works based on his fathAbout Universal |82
206158430662|20100902054157843|196.32.227.177|Chrome|LOL|3
206158430663|20100902070533340|196.32.227.177|Chrome|ok|2
206158430664|20100902164031144|41.153.161.111|Internet Explorer|great|5
206158430665|20100901134720781|186.169.83.109|Firefox|great|5
206158430666|20100902062750831|196.32.227.177|Chrome|maybe|5
824633721292|20120110122543596|200.4.252.31|Firefox|duh|3
824633721293|20120110175946252|196.32.227.177|Chrome|no way!|7
824633721294|20120110051007730|190.2.29.231|Firefox|About Chad, e, the country is sometimes referred to as the Dead Heart of Africa. Chad is divided into multiple regions: a desert zone in the n|142
824633721295|20120110192608103|165.183.118.237|Firefox|no way!|7
824633721296|20120111004648601|190.7.72.154|Firefox|right|5
824633721297|20120110081228662|190.7.72.154|Firefox|good|4
824633721298|20120110102726503|165.183.118.237|Firefox|no|2
824633721299|20120110053720052|118.107.128.185|Chrome|thanks|6
824633721300|20120110015445979|165.183.118.237|Firefox|About Donald Trump, nd around the world. Trump is the son of Fred Trump, a weal|79
824633721301|20120110074352364|165.183.118.237|Firefox|thanks|6
824633721302|20120110054317443|200.4.252.31|Firefox|yes|3
824633721303|20120110012444411|165.183.118.237|Firefox|great|5
824633721304|20120110161821086|195.49.208.210|Internet Explorer|thx|3
824633721305|20120110064807146|196.32.227.177|Chrome|no way!|7
824633721306|20120110111111136|186.169.83.109|Firefox|About Nicole Kidman, ). Her performance in 2010's Rabbit Hole (which she also produced) e|89
824633721307|20120110055506774|190.2.29.231|Firefox|thx|3
824633721308|20120110133050850|196.32.227.177|Chrome|About Edward Heath, ruary 1975 Monarch Elizabeth II Prime MinisterAbout Nicole Kidman, Far|90
481036337630|20110414100523899|118.107.128.185|Chrome|yes|3
481036337631|20110414203406242|186.169.83.109|Firefox|About Franz Schubert, Schubert's music during his lifetime was limited, but interest in his work increase|105
481036337632|20110415051511934|41.153.161.111|Internet Explorer|About John Steinbeck, ze-winning novel The Grapes of Wrath (1939) and East of |78
549755814370|20110616105147692|41.153.161.111|Internet Explorer|no|2
549755814371|20110616105739512|196.32.227.177|Chrome|right|5
549755814372|20110616111651779|41.153.161.111|Internet Explorer|yes|3
549755814373|20110616194909244|202.0.80.176|Chrome|About Kurt Weill, es. He was a leading composer for the stage who was best known for|84
549755814374|20110616122111777|186.169.83.109|Firefox|LOL|3
549755814375|20110616235440421|186.169.83.109|Firefox|great|5
549755814376|20110616223652655|118.107.128.185|Chrome|yes|3
549755814377|20110617054108359|41.153.161.111|Internet Explorer|no way!|7
549755814378|20110616232236851|186.169.83.109|Firefox|thanks|6
549755814379|20110616111141070|196.32.227.177|Chrome|right|5
549755814380|20110617085500504|118.107.128.185|Chrome|About Charles I of England,  in the First Civil War (1642–45), after which Parlia|81
618475291118|20110718171235543|196.32.227.177|Chrome|LOL|3
618475291119|20110719133416348|196.32.227.177|Chrome|thanks|6
618475291120|20110718181241966|41.153.161.111|Internet Explorer|fine|4
618475291121|20110718185744936|186.169.83.109|Firefox|About Green Tambourine, e 1960s Ohio-based rock group The Lemon Pipers, as well as the|86
618475291122|20110718203654509|41.153.161.111|Internet Explorer|thanks|6
618475291123|20110719054913597|118.107.128.185|Chrome|About Swaziland, ion, as well as its people, are named after the 19th centu|75
618475291124|20110718185831689|196.32.227.177|Chrome|great|5
618475291125|20110718190417891|41.153.161.111|Internet Explorer|roflol|6
618475291126|20110718203621451|41.153.161.111|Internet Explorer|duh|3
618475291127|20110719063621156|118.107.128.185|Chrome|great|5
618475291128|20110718211244801|186.169.83.109|Firefox|fine|4
618475291129|20110718170215874|186.169.83.109|Firefox|no way!|7
618475291130|20110718180559586|118.107.128.185|Chrome|About J. R. R. Tolkien, ty professor, best known as the author of the classic high fantasy wAbout The Dark Side of the Moon, t built on|135
618475291131|20110719103916728|186.169.83.109|Firefox|About Henry V of England, me into political conflict with the increasingly il|77
618475291132|20110718181515356|186.169.83.109|Firefox|roflol|6
618475291133|20110719071200705|41.153.161.111|Internet Explorer|ok|2
618475291134|20110719001228923|186.169.83.109|Firefox|About Oscar Wilde, ising philosophy of aestheticism, led by two of his tutors, Walter Pate|90
618475291135|20110719084026410|196.32.227.177|Chrome|no way!|7
618475291136|20110719001645914|41.153.161.111|Internet Explorer|good|4
481036337667|20110403052202085|118.107.128.185|Chrome|no|2
481036337668|20110403104506913|196.32.227.177|Chrome|About Lord Byron, d mixed reviews, with one particularly negative one from |75
1099511628294|20120911214858942|41.153.161.111|Internet Explorer|no|2
1099511628295|20120911053328782|165.183.118.237|Firefox|About Scream Childhood, ever director Mark Romanek has refuted the claim saying that the|88
1099511628296|20120911191605721|165.183.118.237|Firefox|maybe|5
1099511628297|20120912044640347|190.2.29.231|Firefox|thanks|6
1099511628298|20120911120010924|192.190.31.253|Chrome|LOL|3
1099511628299|20120911220034553|200.4.252.31|Firefox|no|2
1099511628300|20120911100231785|192.160.111.235|Internet Explorer|duh|3
549755814414|20110619133730881|41.153.161.111|Internet Explorer|maybe|5
549755814415|20110620084713572|41.153.161.111|Internet Explorer|right|5
549755814416|20110619172413685|118.107.128.185|Chrome|About J. R. R. Tolkien, ore precisely, of high fantasy. In 2008, TAbout Province of|83
549755814417|20110620101348307|196.32.227.177|Chrome|About J. R. R. Tolkien, ed Tolkien to be popularly identified About Patti S|75
549755814418|20110619195529375|41.153.161.111|Internet Explorer|thanks|6
549755814419|20110620110453909|200.40.246.241|Firefox|duh|3
549755814420|20110619205530962|196.32.227.177|Chrome|thanks|6
549755814421|20110620000623317|41.153.161.111|Internet Explorer|About Gilbert du Motier, marquis de Lafayette, ), often known as simply Lafayette, was|86
549755814422|20110620133452535|196.32.227.177|Chrome|roflol|6
549755814423|20110620031201737|118.107.128.185|Chrome|cool|4
549755814424|20110619182413608|118.107.128.185|Chrome|maybe|5
549755814425|20110619220541739|118.107.128.185|Chrome|right|5
549755814426|20110619181619311|202.45.144.101|Internet Explorer|maybe|5
549755814427|20110620010602474|118.107.128.185|Chrome|I see|5
549755814428|20110620121431177|118.107.128.185|Chrome|maybe|5
549755814429|20110619120801901|41.153.161.111|Internet Explorer|About Silent Alarm, Alarm went on to achieve worldwide sales of over one million copies. Bloc Party aimed to create an album that appealed to followers of different musica|171
549755814430|20110619174611489|186.169.83.109|Firefox|cool|4
549755814431|20110619200525677|196.32.227.177|Chrome|LOL|3
549755814432|20110620102038384|186.169.83.109|Firefox|About J. R. R. Tolkien, ied the term legendarium to the larger part About Kelly Clarkso|87
549755814433|20110619122514275|186.169.83.109|Firefox|About J. R. R. Tolkien,  Lewis—they were both members of the informal About Pet Sounds, be|90
824633721379|20120303064502656|198.50.19.91|Opera|About Pamela Anderson, r, activist, and former showgirl, known foAbout From Chaos,|82
824633721380|20120304020407102|198.50.19.91|Opera|About Ghana, ut not all of the country. The Gold Coast achieved independence from the Un|88
824633721381|20120304133644154|192.160.111.235|Internet Explorer|I see|5
824633721382|20120303102849725|200.0.27.84|Firefox|fine|4
824633721383|20120304013943506|200.0.27.84|Firefox|no way!|7
824633721384|20120303100439621|14.204.93.69|Firefox|About Pamela Anderson, ian actress, model, produAbout Band of Gypsys, isso|74
824633721385|20120304051052267|21.111.144.187|Firefox|maybe|5
824633721386|20120303105130880|192.147.218.174|Internet Explorer|no|2
618475291182|20110830105733437|189.39.100.120|Firefox|About Pamela Anderson, producer, author, activist, and former showgirl, known fAbout Dr. Dre Presents the Afte|110
618475291183|20110831055908464|200.0.27.84|Firefox|About Pamela Anderson, e was known as Pamela Anderson Lee (or PAbout Mad World, Both Mad World and its B-side, Ideas |117
618475291184|20110831220014293|200.0.27.84|Firefox|About Dr. Dre Presents the Aftermath,  received mixed reviews and was not amongst the year's morAbout Visigothic Kingdom, kings were Arian Christians and came into conflict |173
618475291185|20110830010139020|189.39.100.120|Internet Explorer|ok|2
618475291186|20110901023033091|204.79.199.255|Internet Explorer|About Dr. Dre Presents the Aftermath, h is a compilation albAbout Organisation of Afric|87
618475291187|20110830115447924|204.79.199.255|Internet Explorer|fine|4
618475291188|20110831063207024|204.79.199.255|Internet Explorer|yes|3
412316860984|20110203174135997|21.111.144.187|Firefox|About Jim Carrey, urt WondeAbout Henri Matisse, nts in paAbout Tom Gehrels, storical |85
412316860985|20110203172137158|21.111.144.187|Firefox|About Tom Gehrels, Braun needs no phAbout Marilyn Monroe, ble suicide, the About For|84
412316860986|20110203230813828|200.0.27.84|Firefox|roflol|6
412316860987|20110203191742953|21.111.144.187|Firefox|cool|4
412316860988|20110203174959908|31.13.145.140|Internet Explorer|ok|2
412316860989|20110204071423921|204.79.199.255|Internet Explorer|yes|3
412316860990|20110204005333159|21.111.144.187|Firefox|good|4
412316860991|20110203172209056|21.111.144.187|Firefox|cool|4
412316860992|20110204001627754|200.0.27.84|Firefox|roflol|6
412316860993|20110204020905834|200.0.27.84|Firefox|ok|2
412316860994|20110204004224586|21.111.144.187|Firefox|duh|3
962072675675|20120616130647080|200.0.68.105|Safari|thx|3
962072675676|20120615225757242|41.138.47.146|Chrome|ok|2
893353199068|20120420132912870|109.238.167.21|Chrome|About Franz Joseph I of Austria, , the assassination of the heir-presumptiAbout |80
893353199069|20120420211436737|202.154.231.90|Chrome|About Henry David Thoreau, nment is best which governsAbout Monaco, aco Grand |78
893353199070|20120421124630612|111.88.174.205|Chrome|About Janet Jackson, me Top Artists, ranking her About Beat Dis, as a b-side to '|81
893353199071|20120421210333042|14.192.73.106|Internet Explorer|duh|3
893353199072|20120421150619248|31.7.139.198|Chrome|yes|3
962072675810|20120628060247138|118.107.128.185|Chrome|thanks|6
962072675811|20120628062831288|14.192.73.106|Internet Explorer|I see|5
962072675812|20120628044128950|202.0.110.39|Chrome|yes|3
962072675813|20120628015053173|109.238.167.21|Chrome|yes|3
962072675814|20120628015422654|14.137.26.183|Chrome|roflol|6
962072675815|20120628161625500|14.137.26.183|Chrome|Rudyard Kipling's WorksAbout Queen Victoria, ra. It was aAbout Jimi Hendrix, he Jimi Hend|89
962072675816|20120628191245299|118.107.128.185|Chrome|About Pablo Picasso, October 1About Jimi Hendrix, s. After About Windowlick|75
962072675817|20120628152153231|41.221.29.129|Firefox|cool|4
962072675824|20120622020140885|118.107.141.191|Internet Explorer|ok|2
962072675825|20120622011059698|200.0.16.243|Internet Explorer|About Joseph McCarthy,  Cold War tensions fueled fears of widespAbout If It Makes|81
962072675826|20120621214025274|143.108.178.52|Chrome|About Britney Spears, n 2009. In October of the About Flying Without Wings,|75
962072675827|20120622202605976|14.137.26.183|Chrome|About Bobby Hull, amous for his blondeAbout John Mayer, 06. At the 49th AnnuAbo|79
962072675828|20120622193017136|188.253.255.216|Chrome|no way!|7
962072675829|20120623045213634|109.238.167.21|Chrome|About Kanye West, wisted Fantasy becoming hisAbout John Mayer,  Eric Clapton, |78
962072675830|20120622080128599|202.0.110.39|Chrome|duh|3
962072675831|20120622214958417|31.7.139.198|Chrome|About Kurt Vonnegut, d Breakfast of ChampAbout I Never Loved a Man the Way I |77
962072675832|20120622233757748|14.137.26.183|Chrome|good|4
962072675833|20120622215139790|119.30.93.193|Internet Explorer|About Bobby Hull,  is regarded as one of thAbout John Mayer, d raised in Fairfield, CoAbout Donald Duck, nia! is a Donald Duck comAbout Saddam Hu|145
962072675834|20120622215227030|202.154.231.90|Chrome|roflol|6
962072675835|20120622205014669|24.41.18.238|Chrome|duh|3
962072675836|20120622054002458|118.107.128.185|Chrome|About Bobby Hull, ull, OC (born January 3, 1939About Lewis Carroll, ablished in 1974. LCSNA is a About Will.i.am, |114
962072675837|20120623194140622|192.188.11.143|Chrome|no|2
824633722367|20120131022810901|202.154.231.90|Chrome|maybe|5
824633722368|20120130101552686|88.151.199.140|Firefox|yes|3
824633722369|20120130210343886|196.28.7.94|Firefox|About Alexander Downer, f the OppAbout Leonard Cohen, a 2005 fiAbout Johann W|77
824633722370|20120131020705000|143.108.178.52|Chrome|About Leonard Cohen, g with the Sundance ChAbout Pope Paul VI,  XII, who named him inAbout Sam Cooke, He founded both a recoAbout Texas Flood,  trac|148
824633722371|20120130211916120|88.151.199.140|Firefox|roflol|6
824633722372|20120130193051475|192.188.11.143|Chrome|About Leonard Cohen, film premiereAbout Johann Wolfgang von Goethe,  Corinth), poAbout W|88
824633722373|20120130215305372|118.107.141.191|Internet Explorer|About Alexander Downer, hn Gosse DoAbout Johann Wolfgang von Goethe, haltungen dAbout Maim|90
824633722374|20120130221716881|175.111.181.120|Firefox|About Leonard Cohen, sequently releasAbout Johann Wolfgang von Goethe, s) 1798/01: PropAbout Mahmoud Ahmadinejad, srael, ch|123
962072675848|20120622161641607|27.123.216.51|Chrome|About Henry VIII of England, d himself as an auAbout Ray Bradbury, . Many of BradburyAb|87
962072675849|20120622095216500|49.158.21.140|Chrome|great|5
962072675850|20120622225357585|49.158.21.140|Chrome|great|5
962072675851|20120622094329074|175.111.181.120|Firefox|About Yasser Arafat, 2004 at the age of 75. While tAbout Billie Holiday,  Okeh, Bluebird, Commodore, CaAbout Superunknown, lling Stone magazine's lis|149
962072675852|20120622165030058|1.202.204.190|Chrome|thanks|6
962072675853|20120623020853364|119.47.125.189|Chrome|About Dead Winter Dead,  Kinkel, was iAbout Republic of Macedonia, e and investmeA|82
962072675854|20120623093147426|175.107.26.157|Firefox|right|5
962072675855|20120622161951737|91.191.192.127|Firefox|About Henry VIII of England, the Church of EngAbout Dead Winter Dead, Neill, along withAbout Claude Debussy, his |113
962072675856|20120622153704551|197.7.245.29|Internet Explorer|yes|3
962072675857|20120623213157381|88.151.199.140|Firefox|I see|5
962072675858|20120623030555191|200.0.16.243|Internet Explorer|no way!|7
962072675859|20120623020911730|200.0.16.243|Internet Explorer|About Images and Words, r, released iAbout Dead Winter Dead, he band decidA|75
962072675860|20120622182043454|88.151.199.140|Firefox|About Francisco Franco,  States. AfteAbout Winston Churchill, d as PresidenA|76
962072675861|20120623092122515|94.247.130.69|Safari|thx|3
962072675862|20120622165010278|119.30.93.193|Internet Explorer|About Dead Winter Dead,  quotes directly from About Your Song, by a number of artistsAbout Montserrat, ncestry of some of itsAbout Is This It, omeday were released aAbout |171
962072675864|20120622025709577|1.202.204.190|Chrome|maybe|5
962072675865|20120622005458870|118.107.141.191|Internet Explorer|About Bobby Hull, onde hair, blinding skAbout Maurice Ravel, According to the law oAbou|87
962072675866|20120622070452920|109.238.167.21|Chrome|yes|3
962072675867|20120622234727918|1.202.204.190|Chrome|cool|4
962072675868|20120622110546942|118.107.128.185|Chrome|About Bobby Hull, of the greatest ice hAbout Malcolm X, olm X became a memberAbou|81
962072675869|20120622030121300|175.107.26.157|Firefox|duh|3
962072675870|20120622110800075|79.99.232.27|Chrome|yes|3
962072675871|20120622012330305|31.7.139.198|Chrome|cool|4
1030792152609|20120805022620118|31.7.139.198|Chrome|right|5
1030792152610|20120804144501138|202.55.130.3|Firefox|no|2
1030792152611|20120805075036264|103.2.228.129|Chrome|About Ehud Olmert, il, two weAbout Johnny Cash, ecord labeAbout Pakistan, he Mongo|82
1030792152612|20120805140119586|196.28.7.94|Firefox|no way!|7
1030792152613|20120805075234834|94.247.130.69|Safari|About Ehud Olmert, the 'InvAbout Horace,  for StrAbout Yoko Ono, artist, Abo|76
1030792152614|20120804190455708|200.0.16.243|Internet Explorer|About Plutarch, y miles easAbout Ehud Olmert, 08, a ceaseAbout John Cage, th|76
1030792152615|20120804233826513|14.192.73.106|Internet Explorer|right|5
1030792152616|20120804220352283|41.208.119.49|Chrome|cool|4
1030792152619|20120805153910494|1.184.55.20|Firefox|roflol|6
1030792152620|20120804231148523|202.61.123.189|Chrome|ok|2
1030792152621|20120805015825437|202.61.123.189|Chrome|LOL|3
1030792152622|20120804211139691|41.208.119.49|Chrome|great|5
1030792152623|20120805045123901|202.0.110.39|Chrome|About Ehud Olmert, iminal counts: obtaining byAbout Bosnia and Herzegovina,  of Bosnia, in the early 12Ab|105
1030792152624|20120805214828965|94.247.130.69|Safari|ok|2
1030792152625|20120805092735524|118.107.128.185|Chrome|good|4
1030792152626|20120805052814050|94.247.130.69|Safari|About Ehud Olmert, November 2007 at the AnnapoliAbout Brian Eno, ctronic musician, music theorAbout Ronald Reagan, oviet Union as an evil empir|143
1030792152627|20120804200044634|88.151.199.140|Firefox|right|5
1030792152628|20120804225740896|91.191.192.127|Firefox|thx|3
1030792152629|20120804204600246|196.28.7.94|Firefox|About Jackson Browne,  Rocker, and Somebody'sAbout Mohammad Reza Pahlavi, on on 11 Februar|90
1030792152630|20120805055743429|175.107.46.68|Firefox|LOL|3
1030792152631|20120805174301125|103.2.228.129|Chrome|About Ehud Olmert, alem District CouAbout Lord Byron,  not yet receivedAbout Brian E|84
1030792152633|20120805003843171|148.202.19.14|Firefox|no way!|7
1030792152634|20120805022937549|148.204.226.31|Chrome|About Charles, Prince of Wales, ganic farming and sougAbout The Unauthorized Biography|86
1030792152635|20120805031935699|31.24.152.190|Chrome|About Ehud Olmert, haron had sufferedAbout Lady Gaga, 3 million albums aAbout Henry Wads|88
1030792152636|20120805053540159|148.204.226.31|Chrome|great|5
1030792152637|20120804221555312|212.76.16.81|Firefox|ok|2
1030792152638|20120805004511490|148.221.140.208|Firefox|About Ehud Olmert, t to form a new governmAbout Jean-Jacques Rousseau, he philosophes amon|90
1030792152639|20120804205054000|144.22.179.250|Internet Explorer|right|5
1030792152640|20120804232230893|27.255.209.56|Chrome|duh|3
1030792152641|20120805003841308|190.7.72.154|Firefox|About Ehud Olmert, the 'money envelopeAbout Henry Wadsworth Longfellow, r a miscarriage. Hi|91
1030792152642|20120805101644125|187.178.30.48|Firefox|About Charles, Prince of Wales, 14 November 1948About The Unauthorized Biog|75
1030792152643|20120805083927304|36.95.74.186|Chrome|thx|3
1030792152644|20120805013730746|27.255.209.56|Chrome|cool|4
1030792152645|20120805021357737|190.7.72.154|Firefox|ok|2
1030792152646|20120804203502598|132.247.65.175|Internet Explorer|thx|3
1030792152647|20120805064927888|148.204.226.31|Chrome|LOL|3
1030792152648|20120805162424044|61.2.120.54|Internet Explorer|ok|2
1030792152650|20120805233444304|27.255.209.56|Chrome|fine|4
1030792152651|20120805004429089|186.36.33.16|Firefox|About René Descartes, ter and form; second, he About Ehud Olmert, miership|74
1030792152652|20120805021300067|190.7.72.154|Firefox|right|5
1030792152653|20120805010426830|212.76.16.81|Firefox|About René Descartes, he opening section oAbout Nicolas Sarkozy, f 3.2 perce|76
1030792152654|20120805002810123|61.2.120.54|Internet Explorer|no|2
1030792152655|20120804233531513|201.220.215.203|Firefox|thanks|6
